After iteration 1: w(A1) = -0.0375, w(A2) = -0.0375, w(A3) = 0.0000, w(A4) = 0.0000, w(A5) = 0.0000, w(A6) = 0.0000, w(A7) = 0.0000, w(A8) = 0.0000, w(A9) = -0.0375, w(A10) = -0.0375, w(A11) = 0.0000, w(A12) = 0.0000, w(A13) = -0.0375, output = 0.4533
After iteration 81: w(A1) = -0.0968, w(A2) = -0.0206, w(A3) = -0.0399, w(A4) = -0.1342, w(A5) = -0.1071, w(A6) = -0.2836, w(A7) = -0.2880, w(A8) = -0.2448, w(A9) = -0.0761, w(A10) = -0.0672, w(A11) = 0.0909, w(A12) = -0.3485, w(A13) = -0.4597, output = 0.2972
After iteration 82: w(A1) = -0.1120, w(A2) = -0.0357, w(A3) = -0.0399, w(A4) = -0.1342, w(A5) = -0.1222, w(A6) = -0.2836, w(A7) = -0.3031, w(A8) = -0.2448, w(A9) = -0.0761, w(A10) = -0.0823, w(A11) = 0.0909, w(A12) = -0.3485, w(A13) = -0.4748, output = 0.2441
After iteration 83: w(A1) = -0.1251, w(A2) = -0.0357, w(A3) = -0.0399, w(A4) = -0.1342, w(A5) = -0.1354, w(A6) = -0.2968, w(A7) = -0.3031, w(A8) = -0.2448, w(A9) = -0.0893, w(A10) = -0.0955, w(A11) = 0.0909, w(A12) = -0.3485, w(A13) = -0.4880, output = 0.2262
After iteration 84: w(A1) = -0.1251, w(A2) = -0.0516, w(A3) = -0.0399, w(A4) = -0.1501, w(A5) = -0.1512, w(A6) = -0.3127, w(A7) = -0.3031, w(A8) = -0.2448, w(A9) = -0.0893, w(A10) = -0.0955, w(A11) = 0.0750, w(A12) = -0.3485, w(A13) = -0.5039, output = 0.2508
After iteration 85: w(A1) = -0.1251, w(A2) = -0.0575, w(A3) = -0.0459, w(A4) = -0.1501, w(A5) = -0.1572, w(A6) = -0.3186, w(A7) = -0.3091, w(A8) = -0.2448, w(A9) = -0.0893, w(A10) = -0.0955, w(A11) = 0.0750, w(A12) = -0.3544, w(A13) = -0.5098, output = 0.1477
After iteration 86: w(A1) = -0.1251, w(A2) = -0.0661, w(A3) = -0.0459, w(A4) = -0.1587, w(A5) = -0.1658, w(A6) = -0.3186, w(A7) = -0.3177, w(A8) = -0.2448, w(A9) = -0.0893, w(A10) = -0.0955, w(A11) = 0.0664, w(A12) = -0.3631, w(A13) = -0.5184, output = 0.1790
After iteration 87: w(A1) = -0.1303, w(A2) = -0.0713, w(A3) = -0.0459, w(A4) = -0.1639, w(A5) = -0.1658, w(A6) = -0.3239, w(A7) = -0.3177, w(A8) = -0.2500, w(A9) = -0.0893, w(A10) = -0.0955, w(A11) = 0.0664, w(A12) = -0.3683, w(A13) = -0.5236, output = 0.1381
After iteration 88: w(A1) = -0.1392, w(A2) = -0.0802, w(A3) = -0.0548, w(A4) = -0.1639, w(A5) = -0.1658, w(A6) = -0.3328, w(A7) = -0.3177, w(A8) = -0.2589, w(A9) = -0.0893, w(A10) = -0.1044, w(A11) = 0.0664, w(A12) = -0.3683, w(A13) = -0.5325, output = 0.1820
After iteration 89: w(A1) = -0.1454, w(A2) = -0.0864, w(A3) = -0.0548, w(A4) = -0.1639, w(A5) = -0.1719, w(A6) = -0.3328, w(A7) = -0.3238, w(A8) = -0.2589, w(A9) = -0.0954, w(A10) = -0.1044, w(A11) = 0.0664, w(A12) = -0.3744, w(A13) = -0.5386, output = 0.1498
After iteration 90: w(A1) = -0.1057, w(A2) = -0.0864, w(A3) = -0.0548, w(A4) = -0.1639, w(A5) = -0.1719, w(A6) = -0.2931, w(A7) = -0.3238, w(A8) = -0.2193, w(A9) = -0.0558, w(A10) = -0.1044, w(A11) = 0.1060, w(A12) = -0.3744, w(A13) = -0.4990, output = 0.2560
After iteration 91: w(A1) = -0.1112, w(A2) = -0.0864, w(A3) = -0.0603, w(A4) = -0.1694, w(A5) = -0.1719, w(A6) = -0.2986, w(A7) = -0.3238, w(A8) = -0.2248, w(A9) = -0.0613, w(A10) = -0.1099, w(A11) = 0.1005, w(A12) = -0.3799, w(A13) = -0.5045, output = 0.1395
After iteration 92: w(A1) = -0.0807, w(A2) = -0.0558, w(A3) = -0.0297, w(A4) = -0.1388, w(A5) = -0.1719, w(A6) = -0.2681, w(A7) = -0.3238, w(A8) = -0.1943, w(A9) = -0.0613, w(A10) = -0.0793, w(A11) = 0.1311, w(A12) = -0.3493, w(A13) = -0.4740, output = 0.1767
After iteration 93: w(A1) = -0.0807, w(A2) = -0.0558, w(A3) = -0.0297, w(A4) = -0.1388, w(A5) = -0.1793, w(A6) = -0.2754, w(A7) = -0.3311, w(A8) = -0.2016, w(A9) = -0.0686, w(A10) = -0.0867, w(A11) = 0.1311, w(A12) = -0.3493, w(A13) = -0.4813, output = 0.1647
After iteration 94: w(A1) = -0.0807, w(A2) = -0.0558, w(A3) = -0.0297, w(A4) = -0.1388, w(A5) = -0.1433, w(A6) = -0.2395, w(A7) = -0.2952, w(A8) = -0.1656, w(A9) = -0.0326, w(A10) = -0.0867, w(A11) = 0.1311, w(A12) = -0.3493, w(A13) = -0.4453, output = 0.2106
After iteration 95: w(A1) = -0.0891, w(A2) = -0.0558, w(A3) = -0.0297, w(A4) = -0.1473, w(A5) = -0.1433, w(A6) = -0.2395, w(A7) = -0.3037, w(A8) = -0.1741, w(A9) = -0.0326, w(A10) = -0.0867, w(A11) = 0.1311, w(A12) = -0.3578, w(A13) = -0.4538, output = 0.1786
After iteration 96: w(A1) = -0.0479, w(A2) = -0.0145, w(A3) = -0.0297, w(A4) = -0.1060, w(A5) = -0.1433, w(A6) = -0.2395, w(A7) = -0.2624, w(A8) = -0.1328, w(A9) = -0.0326, w(A10) = -0.0454, w(A11) = 0.1724, w(A12) = -0.3578, w(A13) = -0.4125, output = 0.2996
After iteration 97: w(A1) = -0.0040, w(A2) = 0.0293, w(A3) = 0.0141, w(A4) = -0.1060, w(A5) = -0.1433, w(A6) = -0.2395, w(A7) = -0.2624, w(A8) = -0.0890, w(A9) = 0.0112, w(A10) = -0.0454, w(A11) = 0.2162, w(A12) = -0.3578, w(A13) = -0.3687, output = 0.4525
After iteration 98: w(A1) = -0.0040, w(A2) = 0.0293, w(A3) = 0.0141, w(A4) = -0.1060, w(A5) = -0.1433, w(A6) = -0.2606, w(A7) = -0.2835, w(A8) = -0.1101, w(A9) = 0.0112, w(A10) = -0.0454, w(A11) = 0.1951, w(A12) = -0.3578, w(A13) = -0.3898, output = 0.2997
After iteration 99: w(A1) = -0.0040, w(A2) = 0.0293, w(A3) = 0.0141, w(A4) = -0.1060, w(A5) = -0.1433, w(A6) = -0.2606, w(A7) = -0.2835, w(A8) = -0.1101, w(A9) = 0.0112, w(A10) = -0.0454, w(A11) = 0.1951, w(A12) = -0.3788, w(A13) = -0.4108, output = 0.3122
After iteration 100: w(A1) = -0.0040, w(A2) = 0.0716, w(A3) = 0.0564, w(A4) = -0.0637, w(A5) = -0.1433, w(A6) = -0.2606, w(A7) = -0.2835, w(A8) = -0.1101, w(A9) = 0.0535, w(A10) = -0.0031, w(A11) = 0.2374, w(A12) = -0.3788, w(A13) = -0.3685, output = 0.4959
After iteration 101: w(A1) = -0.0040, w(A2) = 0.0450, w(A3) = 0.0564, w(A4) = -0.0637, w(A5) = -0.1699, w(A6) = -0.2606, w(A7) = -0.2835, w(A8) = -0.1367, w(A9) = 0.0269, w(A10) = -0.0297, w(A11) = 0.2374, w(A12) = -0.3788, w(A13) = -0.3952, output = 0.3408
After iteration 102: w(A1) = 0.0404, w(A2) = 0.0894, w(A3) = 0.1008, w(A4) = -0.0637, w(A5) = -0.1255, w(A6) = -0.2162, w(A7) = -0.2835, w(A8) = -0.0923, w(A9) = 0.0269, w(A10) = 0.0147, w(A11) = 0.2818, w(A12) = -0.3788, w(A13) = -0.3507, output = 0.4360
After iteration 103: w(A1) = 0.0404, w(A2) = 0.0673, w(A3) = 0.0787, w(A4) = -0.0859, w(A5) = -0.1255, w(A6) = -0.2162, w(A7) = -0.3056, w(A8) = -0.1144, w(A9) = 0.0269, w(A10) = 0.0147, w(A11) = 0.2597, w(A12) = -0.4010, w(A13) = -0.3729, output = 0.2944
After iteration 104: w(A1) = 0.0829, w(A2) = 0.1098, w(A3) = 0.0787, w(A4) = -0.0859, w(A5) = -0.0830, w(A6) = -0.1737, w(A7) = -0.3056, w(A8) = -0.1144, w(A9) = 0.0269, w(A10) = 0.0572, w(A11) = 0.3022, w(A12) = -0.4010, w(A13) = -0.3304, output = 0.4912
After iteration 105: w(A1) = 0.0829, w(A2) = 0.1098, w(A3) = 0.0787, w(A4) = -0.0859, w(A5) = -0.0830, w(A6) = -0.1737, w(A7) = -0.3266, w(A8) = -0.1354, w(A9) = 0.0269, w(A10) = 0.0572, w(A11) = 0.3022, w(A12) = -0.4010, w(A13) = -0.3513, output = 0.3072
After iteration 106: w(A1) = 0.0584, w(A2) = 0.0853, w(A3) = 0.0542, w(A4) = -0.1104, w(A5) = -0.1075, w(A6) = -0.1737, w(A7) = -0.3266, w(A8) = -0.1354, w(A9) = 0.0269, w(A10) = 0.0327, w(A11) = 0.3022, w(A12) = -0.4254, w(A13) = -0.3758, output = 0.3125
After iteration 107: w(A1) = 0.0584, w(A2) = 0.0617, w(A3) = 0.0542, w(A4) = -0.1340, w(A5) = -0.1311, w(A6) = -0.1737, w(A7) = -0.3266, w(A8) = -0.1354, w(A9) = 0.0269, w(A10) = 0.0327, w(A11) = 0.2786, w(A12) = -0.4490, w(A13) = -0.3994, output = 0.3158
After iteration 108: w(A1) = 0.0584, w(A2) = 0.0617, w(A3) = 0.0542, w(A4) = -0.1340, w(A5) = -0.1634, w(A6) = -0.1737, w(A7) = -0.3266, w(A8) = -0.1354, w(A9) = 0.0269, w(A10) = 0.0327, w(A11) = 0.2463, w(A12) = -0.4490, w(A13) = -0.4317, output = 0.4137
After iteration 109: w(A1) = 0.0584, w(A2) = 0.0525, w(A3) = 0.0450, w(A4) = -0.1431, w(A5) = -0.1725, w(A6) = -0.1828, w(A7) = -0.3358, w(A8) = -0.1445, w(A9) = 0.0269, w(A10) = 0.0235, w(A11) = 0.2371, w(A12) = -0.4582, w(A13) = -0.4409, output = 0.1795
After iteration 110: w(A1) = 0.0515, w(A2) = 0.0525, w(A3) = 0.0450, w(A4) = -0.1501, w(A5) = -0.1795, w(A6) = -0.1828, w(A7) = -0.3427, w(A8) = -0.1515, w(A9) = 0.0199, w(A10) = 0.0235, w(A11) = 0.2371, w(A12) = -0.4652, w(A13) = -0.4478, output = 0.1591
After iteration 111: w(A1) = 0.0515, w(A2) = 0.0376, w(A3) = 0.0450, w(A4) = -0.1501, w(A5) = -0.1795, w(A6) = -0.1977, w(A7) = -0.3576, w(A8) = -0.1664, w(A9) = 0.0051, w(A10) = 0.0235, w(A11) = 0.2371, w(A12) = -0.4652, w(A13) = -0.4627, output = 0.2420
After iteration 112: w(A1) = 0.0515, w(A2) = 0.0183, w(A3) = 0.0450, w(A4) = -0.1501, w(A5) = -0.1795, w(A6) = -0.2170, w(A7) = -0.3576, w(A8) = -0.1664, w(A9) = 0.0051, w(A10) = 0.0042, w(A11) = 0.2178, w(A12) = -0.4845, w(A13) = -0.4820, output = 0.2802
After iteration 113: w(A1) = 0.0515, w(A2) = 0.0183, w(A3) = 0.0450, w(A4) = -0.1501, w(A5) = -0.1889, w(A6) = -0.2265, w(A7) = -0.3670, w(A8) = -0.1758, w(A9) = 0.0051, w(A10) = -0.0052, w(A11) = 0.2178, w(A12) = -0.4845, w(A13) = -0.4915, output = 0.1892
After iteration 114: w(A1) = 0.0397, w(A2) = 0.0183, w(A3) = 0.0333, w(A4) = -0.1501, w(A5) = -0.2007, w(A6) = -0.2265, w(A7) = -0.3670, w(A8) = -0.1875, w(A9) = -0.0067, w(A10) = -0.0052, w(A11) = 0.2178, w(A12) = -0.4962, w(A13) = -0.5032, output = 0.2106
After iteration 115: w(A1) = 0.0164, w(A2) = 0.0183, w(A3) = 0.0100, w(A4) = -0.1501, w(A5) = -0.2240, w(A6) = -0.2265, w(A7) = -0.3670, w(A8) = -0.1875, w(A9) = -0.0300, w(A10) = -0.0286, w(A11) = 0.2178, w(A12) = -0.4962, w(A13) = -0.5266, output = 0.3137
After iteration 116: w(A1) = 0.0164, w(A2) = 0.0183, w(A3) = 0.0100, w(A4) = -0.1056, w(A5) = -0.2240, w(A6) = -0.2265, w(A7) = -0.3670, w(A8) = -0.1431, w(A9) = -0.0300, w(A10) = 0.0159, w(A11) = 0.2622, w(A12) = -0.4962, w(A13) = -0.4821, output = 0.3887
After iteration 117: w(A1) = 0.0164, w(A2) = 0.0183, w(A3) = 0.0100, w(A4) = -0.1134, w(A5) = -0.2318, w(A6) = -0.2343, w(A7) = -0.3748, w(A8) = -0.1509, w(A9) = -0.0300, w(A10) = 0.0081, w(A11) = 0.2622, w(A12) = -0.4962, w(A13) = -0.4899, output = 0.1698
After iteration 118: w(A1) = 0.0035, w(A2) = 0.0054, w(A3) = -0.0029, w(A4) = -0.1134, w(A5) = -0.2318, w(A6) = -0.2471, w(A7) = -0.3748, w(A8) = -0.1509, w(A9) = -0.0300, w(A10) = -0.0048, w(A11) = 0.2622, w(A12) = -0.5091, w(A13) = -0.5028, output = 0.2213
After iteration 119: w(A1) = -0.0139, w(A2) = -0.0120, w(A3) = -0.0029, w(A4) = -0.1134, w(A5) = -0.2318, w(A6) = -0.2471, w(A7) = -0.3748, w(A8) = -0.1683, w(A9) = -0.0474, w(A10) = -0.0048, w(A11) = 0.2448, w(A12) = -0.5265, w(A13) = -0.5202, output = 0.2605
After iteration 120: w(A1) = 0.0306, w(A2) = 0.0325, w(A3) = 0.0415, w(A4) = -0.0690, w(A5) = -0.1873, w(A6) = -0.2471, w(A7) = -0.3748, w(A8) = -0.1683, w(A9) = -0.0030, w(A10) = -0.0048, w(A11) = 0.2893, w(A12) = -0.5265, w(A13) = -0.4757, output = 0.4155
After iteration 121: w(A1) = 0.0306, w(A2) = 0.0325, w(A3) = 0.0770, w(A4) = -0.0690, w(A5) = -0.1519, w(A6) = -0.2117, w(A7) = -0.3748, w(A8) = -0.1328, w(A9) = -0.0030, w(A10) = 0.0306, w(A11) = 0.2893, w(A12) = -0.4910, w(A13) = -0.4403, output = 0.2108
After iteration 122: w(A1) = 0.0306, w(A2) = 0.0073, w(A3) = 0.0770, w(A4) = -0.0690, w(A5) = -0.1771, w(A6) = -0.2117, w(A7) = -0.3748, w(A8) = -0.1328, w(A9) = -0.0281, w(A10) = 0.0306, w(A11) = 0.2893, w(A12) = -0.4910, w(A13) = -0.4655, output = 0.3400
After iteration 123: w(A1) = 0.0306, w(A2) = -0.0000, w(A3) = 0.0770, w(A4) = -0.0763, w(A5) = -0.1771, w(A6) = -0.2190, w(A7) = -0.3821, w(A8) = -0.1328, w(A9) = -0.0281, w(A10) = 0.0233, w(A11) = 0.2893, w(A12) = -0.4984, w(A13) = -0.4728, output = 0.1645
After iteration 124: w(A1) = 0.0239, w(A2) = -0.0067, w(A3) = 0.0702, w(A4) = -0.0830, w(A5) = -0.1838, w(A6) = -0.2190, w(A7) = -0.3889, w(A8) = -0.1396, w(A9) = -0.0281, w(A10) = 0.0233, w(A11) = 0.2893, w(A12) = -0.5051, w(A13) = -0.4795, output = 0.1555
After iteration 125: w(A1) = 0.0124, w(A2) = -0.0067, w(A3) = 0.0588, w(A4) = -0.0944, w(A5) = -0.1952, w(A6) = -0.2304, w(A7) = -0.4003, w(A8) = -0.1396, w(A9) = -0.0281, w(A10) = 0.0233, w(A11) = 0.2893, w(A12) = -0.5051, w(A13) = -0.4909, output = 0.2075
After iteration 126: w(A1) = 0.0124, w(A2) = -0.0150, w(A3) = 0.0588, w(A4) = -0.1026, w(A5) = -0.1952, w(A6) = -0.2387, w(A7) = -0.4003, w(A8) = -0.1478, w(A9) = -0.0364, w(A10) = 0.0233, w(A11) = 0.2893, w(A12) = -0.5133, w(A13) = -0.4991, output = 0.1747
After iteration 127: w(A1) = 0.0049, w(A2) = -0.0150, w(A3) = 0.0588, w(A4) = -0.1102, w(A5) = -0.2027, w(A6) = -0.2387, w(A7) = -0.4078, w(A8) = -0.1553, w(A9) = -0.0364, w(A10) = 0.0233, w(A11) = 0.2818, w(A12) = -0.5208, w(A13) = -0.5066, output = 0.1657
After iteration 128: w(A1) = 0.0049, w(A2) = -0.0150, w(A3) = 0.0480, w(A4) = -0.1102, w(A5) = -0.2136, w(A6) = -0.2495, w(A7) = -0.4078, w(A8) = -0.1661, w(A9) = -0.0472, w(A10) = 0.0124, w(A11) = 0.2709, w(A12) = -0.5317, w(A13) = -0.5175, output = 0.1987
After iteration 129: w(A1) = 0.0024, w(A2) = -0.0150, w(A3) = 0.0480, w(A4) = -0.1127, w(A5) = -0.2161, w(A6) = -0.2520, w(A7) = -0.4103, w(A8) = -0.1687, w(A9) = -0.0497, w(A10) = 0.0124, w(A11) = 0.2709, w(A12) = -0.5342, w(A13) = -0.5200, output = 0.0944
After iteration 130: w(A1) = 0.0024, w(A2) = 0.0101, w(A3) = 0.0480, w(A4) = -0.1127, w(A5) = -0.1911, w(A6) = -0.2270, w(A7) = -0.3852, w(A8) = -0.1436, w(A9) = -0.0247, w(A10) = 0.0375, w(A11) = 0.2709, w(A12) = -0.5091, w(A13) = -0.4950, output = 0.1270
After iteration 131: w(A1) = -0.0148, w(A2) = -0.0071, w(A3) = 0.0307, w(A4) = -0.1299, w(A5) = -0.1911, w(A6) = -0.2270, w(A7) = -0.3852, w(A8) = -0.1609, w(A9) = -0.0247, w(A10) = 0.0375, w(A11) = 0.2537, w(A12) = -0.5264, w(A13) = -0.5122, output = 0.2560
After iteration 132: w(A1) = -0.0148, w(A2) = 0.0302, w(A3) = 0.0681, w(A4) = -0.0926, w(A5) = -0.1537, w(A6) = -0.2270, w(A7) = -0.3479, w(A8) = -0.1609, w(A9) = 0.0126, w(A10) = 0.0748, w(A11) = 0.2910, w(A12) = -0.4891, w(A13) = -0.4749, output = 0.2532
After iteration 133: w(A1) = -0.0148, w(A2) = 0.0302, w(A3) = 0.0681, w(A4) = -0.0926, w(A5) = -0.1699, w(A6) = -0.2431, w(A7) = -0.3641, w(A8) = -0.1770, w(A9) = -0.0035, w(A10) = 0.0587, w(A11) = 0.2749, w(A12) = -0.4891, w(A13) = -0.4910, output = 0.2469
After iteration 134: w(A1) = -0.0254, w(A2) = 0.0196, w(A3) = 0.0681, w(A4) = -0.0926, w(A5) = -0.1804, w(A6) = -0.2537, w(A7) = -0.3641, w(A8) = -0.1770, w(A9) = -0.0035, w(A10) = 0.0481, w(A11) = 0.2749, w(A12) = -0.4996, w(A13) = -0.5016, output = 0.1990
After iteration 135: w(A1) = -0.0382, w(A2) = 0.0196, w(A3) = 0.0553, w(A4) = -0.1054, w(A5) = -0.1804, w(A6) = -0.2665, w(A7) = -0.3769, w(A8) = -0.1770, w(A9) = -0.0163, w(A10) = 0.0481, w(A11) = 0.2749, w(A12) = -0.4996, w(A13) = -0.5144, output = 0.2206
After iteration 136: w(A1) = -0.0382, w(A2) = 0.0022, w(A3) = 0.0553, w(A4) = -0.1229, w(A5) = -0.1979, w(A6) = -0.2839, w(A7) = -0.3769, w(A8) = -0.1945, w(A9) = -0.0338, w(A10) = 0.0307, w(A11) = 0.2574, w(A12) = -0.4996, w(A13) = -0.5318, output = 0.2545
After iteration 137: w(A1) = -0.0382, w(A2) = -0.0102, w(A3) = 0.0429, w(A4) = -0.1229, w(A5) = -0.2102, w(A6) = -0.2963, w(A7) = -0.3769, w(A8) = -0.1945, w(A9) = -0.0338, w(A10) = 0.0307, w(A11) = 0.2450, w(A12) = -0.5120, w(A13) = -0.5442, output = 0.2167
After iteration 138: w(A1) = 0.0028, w(A2) = 0.0307, w(A3) = 0.0429, w(A4) = -0.0819, w(A5) = -0.1693, w(A6) = -0.2554, w(A7) = -0.3769, w(A8) = -0.1535, w(A9) = 0.0072, w(A10) = 0.0307, w(A11) = 0.2860, w(A12) = -0.5120, w(A13) = -0.5033, output = 0.3022
After iteration 139: w(A1) = 0.0028, w(A2) = 0.0740, w(A3) = 0.0429, w(A4) = -0.0819, w(A5) = -0.1260, w(A6) = -0.2121, w(A7) = -0.3336, w(A8) = -0.1535, w(A9) = 0.0504, w(A10) = 0.0307, w(A11) = 0.3292, w(A12) = -0.5120, w(A13) = -0.4600, output = 0.3367
After iteration 140: w(A1) = 0.0028, w(A2) = 0.0740, w(A3) = 0.0268, w(A4) = -0.0980, w(A5) = -0.1421, w(A6) = -0.2282, w(A7) = -0.3336, w(A8) = -0.1535, w(A9) = 0.0504, w(A10) = 0.0146, w(A11) = 0.3132, w(A12) = -0.5280, w(A13) = -0.4761, output = 0.2464
After iteration 141: w(A1) = 0.0379, w(A2) = 0.1091, w(A3) = 0.0268, w(A4) = -0.0629, w(A5) = -0.1421, w(A6) = -0.1930, w(A7) = -0.2985, w(A8) = -0.1535, w(A9) = 0.0504, w(A10) = 0.0146, w(A11) = 0.3132, w(A12) = -0.4929, w(A13) = -0.4409, output = 0.2073
After iteration 142: w(A1) = 0.0812, w(A2) = 0.1525, w(A3) = 0.0701, w(A4) = -0.0195, w(A5) = -0.0988, w(A6) = -0.1930, w(A7) = -0.2985, w(A8) = -0.1535, w(A9) = 0.0938, w(A10) = 0.0146, w(A11) = 0.3132, w(A12) = -0.4929, w(A13) = -0.3976, output = 0.4705
After iteration 143: w(A1) = 0.0812, w(A2) = 0.1964, w(A3) = 0.0701, w(A4) = 0.0244, w(A5) = -0.0548, w(A6) = -0.1491, w(A7) = -0.2985, w(A8) = -0.1095, w(A9) = 0.0938, w(A10) = 0.0586, w(A11) = 0.3571, w(A12) = -0.4490, w(A13) = -0.3536, output = 0.3824
After iteration 144: w(A1) = 0.0670, w(A2) = 0.1964, w(A3) = 0.0559, w(A4) = 0.0102, w(A5) = -0.0690, w(A6) = -0.1491, w(A7) = -0.3127, w(A8) = -0.1238, w(A9) = 0.0938, w(A10) = 0.0586, w(A11) = 0.3571, w(A12) = -0.4632, w(A13) = -0.3679, output = 0.2309
After iteration 145: w(A1) = 0.1052, w(A2) = 0.1964, w(A3) = 0.0559, w(A4) = 0.0102, w(A5) = -0.0690, w(A6) = -0.1109, w(A7) = -0.3127, w(A8) = -0.1238, w(A9) = 0.0938, w(A10) = 0.0967, w(A11) = 0.3953, w(A12) = -0.4632, w(A13) = -0.3297, output = 0.5390
After iteration 146: w(A1) = 0.1461, w(A2) = 0.2374, w(A3) = 0.0969, w(A4) = 0.0511, w(A5) = -0.0690, w(A6) = -0.1109, w(A7) = -0.2718, w(A8) = -0.0828, w(A9) = 0.1347, w(A10) = 0.1376, w(A11) = 0.3953, w(A12) = -0.4632, w(A13) = -0.2888, output = 0.5400
After iteration 147: w(A1) = 0.1800, w(A2) = 0.2374, w(A3) = 0.0969, w(A4) = 0.0851, w(A5) = -0.0351, w(A6) = -0.0770, w(A7) = -0.2718, w(A8) = -0.0489, w(A9) = 0.1687, w(A10) = 0.1376, w(A11) = 0.4292, w(A12) = -0.4632, w(A13) = -0.2548, output = 0.6100
After iteration 148: w(A1) = 0.1543, w(A2) = 0.2374, w(A3) = 0.0969, w(A4) = 0.0593, w(A5) = -0.0608, w(A6) = -0.0770, w(A7) = -0.2718, w(A8) = -0.0746, w(A9) = 0.1687, w(A10) = 0.1376, w(A11) = 0.4292, w(A12) = -0.4890, w(A13) = -0.2806, output = 0.3337
After iteration 149: w(A1) = 0.1237, w(A2) = 0.2374, w(A3) = 0.0663, w(A4) = 0.0593, w(A5) = -0.0914, w(A6) = -0.1075, w(A7) = -0.3023, w(A8) = -0.0746, w(A9) = 0.1381, w(A10) = 0.1376, w(A11) = 0.3987, w(A12) = -0.5195, w(A13) = -0.3111, output = 0.3532
After iteration 150: w(A1) = 0.1651, w(A2) = 0.2787, w(A3) = 0.0663, w(A4) = 0.1007, w(A5) = -0.0500, w(A6) = -0.0662, w(A7) = -0.2609, w(A8) = -0.0746, w(A9) = 0.1795, w(A10) = 0.1790, w(A11) = 0.4400, w(A12) = -0.4781, w(A13) = -0.2698, output = 0.5543
After iteration 151: w(A1) = 0.1651, w(A2) = 0.3001, w(A3) = 0.0663, w(A4) = 0.1221, w(A5) = -0.0500, w(A6) = -0.0662, w(A7) = -0.2609, w(A8) = -0.0746, w(A9) = 0.2009, w(A10) = 0.1790, w(A11) = 0.4615, w(A12) = -0.4781, w(A13) = -0.2484, output = 0.6977
After iteration 152: w(A1) = 0.1247, w(A2) = 0.3001, w(A3) = 0.0663, w(A4) = 0.0817, w(A5) = -0.0904, w(A6) = -0.0662, w(A7) = -0.2609, w(A8) = -0.0746, w(A9) = 0.2009, w(A10) = 0.1386, w(A11) = 0.4615, w(A12) = -0.4781, w(A13) = -0.2887, output = 0.4915
After iteration 153: w(A1) = 0.1247, w(A2) = 0.2779, w(A3) = 0.0441, w(A4) = 0.0817, w(A5) = -0.1126, w(A6) = -0.0884, w(A7) = -0.2832, w(A8) = -0.0969, w(A9) = 0.1787, w(A10) = 0.1386, w(A11) = 0.4615, w(A12) = -0.5004, w(A13) = -0.3110, output = 0.2907
After iteration 154: w(A1) = 0.1247, w(A2) = 0.2779, w(A3) = 0.0441, w(A4) = 0.0557, w(A5) = -0.1387, w(A6) = -0.0884, w(A7) = -0.2832, w(A8) = -0.0969, w(A9) = 0.1526, w(A10) = 0.1126, w(A11) = 0.4615, w(A12) = -0.5264, w(A13) = -0.3370, output = 0.3360
After iteration 155: w(A1) = 0.1520, w(A2) = 0.3052, w(A3) = 0.0714, w(A4) = 0.0830, w(A5) = -0.1114, w(A6) = -0.0884, w(A7) = -0.2559, w(A8) = -0.0969, w(A9) = 0.1799, w(A10) = 0.1399, w(A11) = 0.4888, w(A12) = -0.5264, w(A13) = -0.3097, output = 0.6777
After iteration 156: w(A1) = 0.1520, w(A2) = 0.3052, w(A3) = 0.1158, w(A4) = 0.0830, w(A5) = -0.1114, w(A6) = -0.0441, w(A7) = -0.2559, w(A8) = -0.0525, w(A9) = 0.2243, w(A10) = 0.1843, w(A11) = 0.4888, w(A12) = -0.4821, w(A13) = -0.2653, output = 0.4208
After iteration 157: w(A1) = 0.1961, w(A2) = 0.3492, w(A3) = 0.1598, w(A4) = 0.0830, w(A5) = -0.1114, w(A6) = -0.0000, w(A7) = -0.2119, w(A8) = -0.0085, w(A9) = 0.2243, w(A10) = 0.1843, w(A11) = 0.4888, w(A12) = -0.4380, w(A13) = -0.2213, output = 0.4565
After iteration 158: w(A1) = 0.1961, w(A2) = 0.3492, w(A3) = 0.1598, w(A4) = 0.0830, w(A5) = -0.1360, w(A6) = -0.0247, w(A7) = -0.2119, w(A8) = -0.0085, w(A9) = 0.2243, w(A10) = 0.1596, w(A11) = 0.4888, w(A12) = -0.4627, w(A13) = -0.2459, output = 0.3297
After iteration 159: w(A1) = 0.1523, w(A2) = 0.3055, w(A3) = 0.1598, w(A4) = 0.0830, w(A5) = -0.1360, w(A6) = -0.0684, w(A7) = -0.2119, w(A8) = -0.0522, w(A9) = 0.2243, w(A10) = 0.1159, w(A11) = 0.4450, w(A12) = -0.4627, w(A13) = -0.2897, output = 0.6476
After iteration 160: w(A1) = 0.1126, w(A2) = 0.2657, w(A3) = 0.1200, w(A4) = 0.0433, w(A5) = -0.1360, w(A6) = -0.0684, w(A7) = -0.2516, w(A8) = -0.0920, w(A9) = 0.2243, w(A10) = 0.1159, w(A11) = 0.4053, w(A12) = -0.5024, w(A13) = -0.3294, output = 0.4431
